288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
156903BIJ	etofylline nicotinate	etofylline nicotinate 50mg
157102ACS	etoposide	etoposide 25mg
157101BIJ	etoposide	etoposide 100mg
157106BIJ	etoposide	etoposide 500mg
368901BIJ	exametazime	exametazime 0.5mg
157201ATB	famciclovir	famciclovir 250mg
157201ATB	famciclovir	famciclovir 250mg
157302ATB	famotidine	famotidine 20mg
157301ATB	famotidine	famotidine 10mg
157302ATB	famotidine	famotidine 20mg
157303ATB	famotidine	famotidine 40mg
157301ATB	famotidine	famotidine 10mg
157302ATB	famotidine	famotidine 20mg
157303ATB	famotidine	famotidine 40mg
157302BIJ	famotidine	famotidine 20mg
157401ATB	fedrilate	fedrilate 50mg
157701ACH	fenofibrate	fenofibrate 100mg
157702ACR	fenofibrate pelief	fenofibrate pelief 250mg
157801ACH	fenoprofen calcium	fenoprofen calcium 200mg
334400CAE	fenoterol Hbr	fenoterol Hbr 10mg
395801ASY	fenspiride HCl	fenspiride HCl 2mg
395802BIJ	fenspiride HCl	fenspiride HCl 40mg
158305ATD	fentanyl citrate	fentanyl citrate 200㎍
158306ATD	fentanyl citrate	fentanyl citrate 400㎍
158307ATD	fentanyl citrate	fentanyl citrate 600㎍
158308ATD	fentanyl citrate	fentanyl citrate 800㎍
158309ATD	fentanyl citrate	fentanyl citrate 1200㎍
158310ATD	fentanyl citrate	fentanyl citrate 1600㎍
158302BIJ	fentanyl citrate	fentanyl citrate 100㎍
158303BIJ	fentanyl citrate	fentanyl citrate 500㎍
158301BIJ	fentanyl citrate	fentanyl citrate 1000㎍
158402CCS	fenticonazole nitrate	fenticonazole nitrate 200mg
158404CCS	fenticonazole nitrate	fenticonazole nitrate 600mg
158401CCS	fenticonazole nitrate	fenticonazole nitrate 1g
303300ATB	ferric hydroxide poly maltose complex	ferric hydroxide poly maltose complex 357mg
158602ALQ	ferric hydroxide poly maltose-complex	ferric hydroxide poly maltose-complex 35.7mg
158603ALQ	ferric hydroxide poly maltose-complex	ferric hydroxide poly maltose-complex 71.4mg
158801ATB	ferrous heptogluconate	ferrous heptogluconate 250mg
158903BIJ	filgrastim	filgrastim 75㎍
158901BIJ	filgrastim	filgrastim 150㎍
158902BIJ	filgrastim	filgrastim 300㎍
159102BIJ	flavine adenine dinucleotide	flavine adenine dinucleotide 20mg
318100BIJ	flavine adenine dinucleotide	flavine adenine dinucleotide 10mg
159501BIJ	flomoxef sodium	flomoxef sodium 500mg
159601BIJ	floxuridine HCl	floxuridine HCl 500mg
159902BIJ	fluconazole	fluconazole 100mg
159904BIJ	fluconazole	fluconazole 200mg
160001ATB	fludiazepam	fludiazepam 250㎍
373201ATB	flumequine	flumequine 400mg
160702CCM	fluocinolone acetonide	fluocinolone acetonide 100㎍
160701CCM	fluocinolone acetonide	fluocinolone acetonide 250㎍
160801CCM	fluocinonide	fluocinonide 500㎍
160801COM	fluocinonide	fluocinonide 500㎍
345800CCM	fluocinonide	fluocinonide 500㎍
160901CCM	fluocortin butyl ester	fluocortin butyl ester 7.5mg
160901COM	fluocortin butyl ester	fluocortin butyl ester 7.5mg
337100CCM	fluocortolone trimethylacetate	fluocortolone trimethylacetate 1mg
161101BIJ	fluorescein	fluorescein 500mg
161201COS	fluorometholone	fluorometholone 1mg
161203COS	fluorometholone	fluorometholone 2.5mg
332200COO	fluorometholone	fluorometholone 1mg
332200COS	fluorometholone	fluorometholone 1mg
161401BIJ	fluorouracil-5	fluorouracil-5 250mg
161402BIJ	fluorouracil-5	fluorouracil-5 500mg
161403BIJ	fluorouracil-5	fluorouracil-5 2.5g
161503ASY	fluoxetine HCl	fluoxetine HCl 4.472mg
161501ACH	fluoxetine HCl	fluoxetine HCl 10mg
161704ATB	flupentixol HCl	flupentixol HCl 584㎍
161701ATB	flupentixol HCl	flupentixol HCl 1.168mg
161702ATB	flupentixol HCl	flupentixol HCl 3.504mg
426100CCM	fluprednylidene acetate	fluprednylidene acetate 1mg
162102ACH	flutamide	flutamide 125mg
410201ATB	flutoprazepam	flutoprazepam 2mg
301600ATB	folic acid	folic acid 1000㎍
303300ATB	folic acid	folic acid 350㎍
162801BIJ	follitropin β	follitropin β 50I.U
162703BIJ	follitropin-α	follitropin-α 37.5I.U
162804BIJ	follitropin-β	follitropin-β 300I.U
162803BIJ	follitropin-β	follitropin-β 600I.U
162901ATB	fominoben HCl	fominoben HCl 80mg
163101ASY	formoterol fumarate	formoterol fumarate 20㎍
163104ATB	formoterol fumarate	formoterol fumarate 40㎍
163105CSI	formoterol fumarate	formoterol fumarate 1.53mg
163201ACH	fosfomycin calcium	fosfomycin calcium 500mg
163301BIJ	fosfomycin sodium	fosfomycin sodium 1g
163402APD	fosfomycin trometamol	fosfomycin trometamol 333.33mg
163401APD	fosfomycin trometamol	fosfomycin trometamol 375mg
163402APD	fosfomycin trometamol	fosfomycin trometamol 333.33mg
163401APD	fosfomycin trometamol	fosfomycin trometamol 375mg
163701BIJ	fructose	fructose 25g/500ml
400000BIJ	fructose	fructose 50g/500ml
327900BIJ	fructose	fructose 10g/200ml
163802ATB	furosemide	furosemide 20mg
163801ATB	furosemide	furosemide 40mg
163803BIJ	furosemide	furosemide 10mg
163802BIJ	furosemide	furosemide 20mg
164102COS	fusidic acid	fusidic acid 10mg
345200CCM	fusidic acid	fusidic acid 20mg
164202ACH	gabapentin	gabapentin 300mg
164301BIJ	gabexate mesilate	gabexate mesilate 100mg
164401APD	galactosidase	galactosidase 500mg
164501BIJ	galamine triethiodide	galamine triethiodide 10mg
164502BIJ	galamine triethiodide	galamine triethiodide 80mg
164702AGN	gastamin	gastamin 200mg
165001ACH	gemfibrozil	gemfibrozil 300mg
165104COS	gentamicin sulfate	gentamicin sulfate 3mg
332200COO	gentamicin sulfate	gentamicin sulfate 3mg
332200COS	gentamicin sulfate	gentamicin sulfate 3mg
381600COS	gentamicin sulfate	gentamicin sulfate 3mg
165102CCM	gentamicin sulfate	gentamicin sulfate 1mg
343600CCM	gentamicin sulfate	gentamicin sulfate 1mg
344900CCM	gentamicin sulfate	gentamicin sulfate 1mg
345000CCM	gentamicin sulfate	gentamicin sulfate 1mg
426200CCM	gentamicin sulfate	gentamicin sulfate 1mg
345800CCM	gentamicin sulfate	gentamicin sulfate 1mg
346400CCM	gentamicin sulfate	gentamicin sulfate 1mg
165112BIJ	gentamicin sulfate	gentamicin sulfate 60mg
165103BIJ	gentamicin sulfate	gentamicin sulfate 80mg
165109BIJ	gentamicin sulfate	gentamicin sulfate 100mg
165110BIJ	gentamicin sulfate	gentamicin sulfate 120mg
165106BIJ	gentamicin sulfate	gentamicin sulfate 160mg
165111BIJ	gentamicin sulfate	gentamicin sulfate 200mg
165107CIM	gentamicin sulfate	gentamicin sulfate 32.5mg
165108CIM	gentamicin sulfate	gentamicin sulfate 130mg
426100CCM	gentamycin sulfate	gentamycin sulfate 1mg
165201ACH	gestrinone	gestrinone 2.5mg
165305ATB	ginkgo biloba ext.	ginkgo biloba ext. 80mg
165303ALQ	ginkgo biloba ext.	ginkgo biloba ext. 40mg
165303ACS	ginkgo biloba ext.	ginkgo biloba ext. 40mg
165303ATB	ginkgo biloba ext.	ginkgo biloba ext. 40mg
165302BIJ	ginkgo biloba ext.	ginkgo biloba ext. 17.5mg
165602ATB	gliclazide	gliclazide 80mg
165602ATB	gliclazide	gliclazide 80mg
165602ATB	gliclazide	gliclazide 80mg
165701ATB	glimepiride	glimepiride 1mg
488800ATB	glimepiride	glimepiride 1mg
488900ATB	glimepiride	glimepiride 2mg
489000ATB	glimepiride	glimepiride 4mg
165703ATB	glimepiride	glimepiride 3mg
166001BIJ	glucagon	glucagon 1mg
166301BIJ	glucosamine	glucosamine 338mg
166201ACH	glucosamine sulfate	glucosamine sulfate 250mg
428900BIJ	glucose	glucose 40% 440g
166402ALQ	glucose	glucose 50g
166403ALQ	glucose	glucose 75g
166401ALQ	glucose	glucose 100g
372100BIJ	glucose anhydrous	glucose anhydrous 150mg
317500BIJ	glucose monohydrate	glucose monohydrate 330g
455000BIJ	glucose monohydrate	glucose monohydrate 660g
317600BIJ	glucose monohydrate	glucose monohydrate 198g
317700BIJ	glucose monohydrate	glucose monohydrate 88.02g
455100BIJ	glucose monohydrate	glucose monohydrate 176g
454900BIJ	glucose monohydrate	glucose monohydrate 396g
166501ACH	glutathione	glutathione 50mg
327900BIJ	glycerin	glycerin 20g/200ml
167001BIJ	glycopyrrolate	glycopyrrolate 200㎍
167002BIJ	glycopyrrolate	glycopyrrolate 400㎍
464500BIJ	Glycyl-L-glutamin	Glycyl-L-glutamin 7.5675g/250ml
422400BIJ	Glycyl-L-glutamin	Glycyl-L-glutamin 15.135g/500ml
422300BIJ	Glycyl-L-glutamin	Glycyl-L-glutamin 30.27g/1000ml
464500BIJ	Glycyl-L-tyrosine	Glycyl-L-tyrosine 0.8625g/250ml
422400BIJ	Glycyl-L-tyrosine	Glycyl-L-tyrosine 1.725g/500ml
422300BIJ	Glycyl-L-tyrosine	Glycyl-L-tyrosine 3.45g/1000ml
403000ATB	glycyrhiza ext.	glycyrhiza ext. 33mg
269000AGN	glycyrrhizae radix ext.	glycyrrhizae radix ext. 66mg
381200BIJ	glycyrrhizinate	glycyrrhizinate 10mg
381100BIJ	glycyrrhizinate	glycyrrhizinate 40mg
376801BIJ	gonadorelin acetate	gonadorelin acetate 3.2mg
433000ATB	guaifenesin	guaifenesin 200mg
267700ASY	guaifenesin	guaifenesin 3.75mg
268000ATB	guaifenesin	guaifenesin 50mg
268400ACH	guaifenesin	guaifenesin 50mg
356600ACS	guaifenesin	guaifenesin 75mg
167602BIJ	guaifenesin	guaifenesin 50mg
167801CCM	halcinonide	halcinonide 1mg
167909ATB	haloperidol	haloperidol 1mg
168101BIJ	halopredone	halopredone 12.5mg
168201CLQ	halothane	halothane 1ml
150002ASY	hederae helix fluid ext.	hederae helix fluid ext. 20mg
168401BIJ	hemocoagulase	hemocoagulase 0.04ml
168402BIJ	hemocoagulase	hemocoagulase 1nihu
168403BIJ	hemocoagulase	hemocoagulase 2nihu
168502BIJ	heparin calcium	heparin calcium 5000단위
168501BIJ	heparin calcium	heparin calcium 12500단위
168603BIJ	heparin sodium	heparin sodium 5000단위
168601BIJ	heparin sodium	heparin sodium 20000단위
168602BIJ	heparin sodium	heparin sodium 25000단위
287800AGN	hops dried extract	hops dried extract 16.7mg
169404BIJ	human chorionic gonadotrophin	human chorionic gonadotrophin 5000I.U
169402BIJ	human chorionic gonadotrophin	human chorionic gonadotrophin 1000I.U
169403BIJ	human chorionic gonadotrophin	human chorionic gonadotrophin 2000I.U
169405BIJ	human chorionic gonadotrophin	human chorionic gonadotrophin 3000I.U
169404BIJ	human chorionic gonadotrophin	human chorionic gonadotrophin 5000I.U
170102BIJ	human insulin	human insulin 300I.U
170501BIJ	human insulin	human insulin 1000I.U
354900CLQ	human plasma fibrinogen	human plasma fibrinogen 195-345mg
354900CLQ	human plasma thrombin	human plasma thrombin 1200-1800I.U
262500ATB	hydrochlorothiazide	hydrochlorothiazide 12.5mg
378900ATB	hydrochlorothiazide	hydrochlorothiazide 25mg
262000ATB	hydrochlorothiazide	hydrochlorothiazide 25mg
262200ATB	hydrochlorothiazide	hydrochlorothiazide 12.5mg
262300ATB	hydrochlorothiazide	hydrochlorothiazide 25mg
453600ATB	hydrochlorothiazide	hydrochlorothiazide 12.5mg
453700ATB	hydrochlorothiazide	hydrochlorothiazide 25mg
440300ATB	hydrochlorothiazide	hydrochlorothiazide 12.5mg
262700ATB	hydrochlorothiazide	hydrochlorothiazide 25mg
263000ATB	hydrochlorothiazide	hydrochlorothiazide 10mg
371700ATB	hydrocodone bitartrate	hydrocodone bitartrate 2.5mg
371800ATB	hydrocodone bitartrate	hydrocodone bitartrate 5mg
371600ATB	hydrocodone bitartrate	hydrocodone bitartrate 10mg
334100CLQ	hydrocortisone	hydrocortisone 10mg
170901ATB	hydrocortisone	hydrocortisone 10mg
170901CLT	hydrocortisone	hydrocortisone 10mg
170902CLT	hydrocortisone	hydrocortisone 25mg
170907CEN	hydrocortisone	hydrocortisone 100mg
170902CLT	hydrocortisone	hydrocortisone 25mg
170904CSI	hydrocortisone	hydrocortisone 1g
171201BIJ	hydrocortisone sodium succinate	hydrocortisone sodium succinate 100mg
171202BIJ	hydrocortisone sodium succinate	hydrocortisone sodium succinate 250mg
171301CCM	hydrocortisone valerate	hydrocortisone valerate 2mg
441105BIJ	hydromorphone HCl	hydromorphone HCl 10mg
171402AGN	hydrotalcite	hydrotalcite 500mg
171403AGN	hydrotalcite	hydrotalcite 666mg
171401ASS	hydrotalcite	hydrotalcite 1.5g
287800AGN	hydrotalcite	hydrotalcite 433.3mg
171502BIJ	hydroxocobalamin	hydroxocobalamin 5mg
171501BIJ	hydroxocobalamin	hydroxocobalamin 2.5mg
171502BIJ	hydroxocobalamin	hydroxocobalamin 5mg
171701ATB	hydroxychloroquine sulfate	hydroxychloroquine sulfate 100mg
171702ATB	hydroxychloroquine sulfate	hydroxychloroquine sulfate 200mg
171703ATB	hydroxychloroquine sulfate	hydroxychloroquine sulfate 400mg
377000BIJ	hydroxyethyl starch	hydroxyethyl starch 15g/250ml
319200BIJ	hydroxyethyl starch	hydroxyethyl starch 30g/500ml
376900BIJ	hydroxyethyl starch	hydroxyethyl starch 60g/1000ml
319300BIJ	hydroxyethyl starch	hydroxyethyl starch 50g/500ml
171904COS	hydroxypropylmethylcellulose	hydroxypropylmethylcellulose 30mg
171905COS	hydroxypropylmethylcellulose	hydroxypropylmethylcellulose 50mg
172101ATB	hydroxyzine HCl	hydroxyzine HCl 10mg
172104ATB	hydroxyzine HCl	hydroxyzine HCl 50mg
172102BIJ	hydroxyzine HCl	hydroxyzine HCl 25mg
172104BIJ	hydroxyzine HCl	hydroxyzine HCl 50mg
172202ATB	hymecromone	hymecromone 300mg
172301ATB	hyoscine butylbromide	hyoscine butylbromide 10mg
172302BIJ	hyoscine butylbromide	hyoscine butylbromide 20mg
368001CCM	hypdrocortisone aceponate	hypdrocortisone aceponate 1.27mg
172601ATB	hyperici dried ext.	hyperici dried ext. 300mg
480303BIJ	ibandronic acid monosodium salt monohydrate	ibandronic acid monosodium salt monohydrate 3.375mg
172804ASY	ibuprofen	ibuprofen 20mg
172811ASY	ibuprofen	ibuprofen 40mg
172801ACH	ibuprofen	ibuprofen 100mg
172801ATB	ibuprofen	ibuprofen 100mg
172802ATB	ibuprofen	ibuprofen 200mg
172806ATB	ibuprofen	ibuprofen 400mg
172809ATB	ibuprofen	ibuprofen 500mg
172808CCM	ibuprofen	ibuprofen 50mg
313300ATB	ibuprofen	ibuprofen 300mg
173002BIJ	idarubicin HCl	idarubicin HCl 5mg
173301BIJ	ifosfamide	ifosfamide 1000mg
173501ATB	imidazole salicylate	imidazole salicylate 375mg
173502ATB	imidazole salicylate	imidazole salicylate 750mg
329300BIJ	imipenem monohydrate	imipenem monohydrate 250mg
329400BIJ	imipenem monohydrate	imipenem monohydrate 500mg
174103BIJ	immunoglobulin human varicella zoster	immunoglobulin human varicella zoster 125I.U
174102BIJ	immunoglobulin human varicella zoster	immunoglobulin human varicella zoster 250I.U
174805COS	indomethacin	indomethacin 1mg
174806COS	indomethacin	indomethacin 5mg
174802CCM	indomethacin	indomethacin 10mg
174802CSI	indomethacin	indomethacin 10mg
174808CPO	indomethacin	indomethacin 70mg
174807CPO	indomethacin	indomethacin 96mg
174901ATB	indoramin HCl	indoramin HCl 27.625mg
175002ASY	inosiplex	inosiplex 50mg
430501BIJ	interferon α	interferon α 2500KI.U
175503BIJ	interferon α-2a	interferon α-2a 4500KI.U
175506BIJ	interferon α-2a	interferon α-2a 9000KI.U
175601BIJ	interferon α-2b	interferon α-2b 3000KI.U
428900BIJ	intralipid	intralipid 20% 500ml
402001CLQ	iodine tincture	iodine tincture 2mg
176104BIJ	iodixanol	iodixanol 305mg
176201COS	iododeoxycytidine	iododeoxycytidine 15mg
176301BIJ	iohexol	iohexol 5180mg
176601BIJ	iopentol	iopentol 658mg
176602BIJ	iopentol	iopentol 768mg
176701BIJ	iopromide	iopromide 623mg
176702BIJ	iopromide	iopromide 769mg
177102CLQ	ipratropium bromide	ipratropium bromide 4.5mg
334400CAE	ipratropium bromide	ipratropium bromide 4mg
401800CSI	ipratropium bromide	ipratropium bromide 0.5mg
177701BIJ	isepamicin sulfate	isepamicin sulfate 200mg
177703BIJ	isepamicin sulfate	isepamicin sulfate 100mg
177701BIJ	isepamicin sulfate	isepamicin sulfate 200mg
177702BIJ	isepamicin sulfate	isepamicin sulfate 400mg
345500CCM	isoconazole nitrate	isoconazole nitrate 10mg
311900ATB	isoniazid	isoniazid 100mg
294500ATB	isopropamide iodide	isopropamide iodide 5mg
294500ATB	isopropamide iodide	isopropamide iodide 5mg
294500ATB	isopropamide iodide	isopropamide iodide 5mg
361600CLQ	isoproporol	isoproporol 0.45g
178301BIJ	isoproterenol HCl	isoproterenol HCl 200㎍
178401ATB	isosorbide dinitrate	isosorbide dinitrate 10mg
178406ACR	isosorbide dinitrate	isosorbide dinitrate 20mg
178408ACR	isosorbide dinitrate	isosorbide dinitrate 60mg
178401BIJ	isosorbide dinitrate	isosorbide dinitrate 10mg
178404BIJ	isosorbide dinitrate	isosorbide dinitrate 50mg
178405CSI	isosorbide dinitrate	isosorbide dinitrate 375mg
178502ACR	isosorbide mononitrate	isosorbide mononitrate 40mg
178504ACR	isosorbide mononitrate	isosorbide mononitrate 60mg
178601COS	isospaglumic acid magnesium salt	isospaglumic acid magnesium salt 60mg
179001ATB	itopride	itopride 50mg
179301ATE	kallidinogenase	kallidinogenase 10KI.U
179303ATB	kallidinogenase	kallidinogenase 50KI.U
179401BIJ	kanamycin sulfate	kanamycin sulfate 1g
179602CLQ	ketoconazole	ketoconazole 20mg
179602CCM	ketoconazole	ketoconazole 20mg
179601ATB	ketoconazole	ketoconazole 200mg
179703ACH	ketoprofen	ketoprofen 25mg
179704ACH	ketoprofen	ketoprofen 50mg
179701ACR	ketoprofen	ketoprofen 100mg
179704BIJ	ketoprofen	ketoprofen 50mg
179701BIJ	ketoprofen	ketoprofen 100mg
179702CCM	ketoprofen	ketoprofen 30mg
179702CLT	ketoprofen	ketoprofen 30mg
179702COM	ketoprofen	ketoprofen 30mg
179901CPL	ketoprofen	ketoprofen 30mg
179901CPO	ketoprofen	ketoprofen 30mg
179904CPL	ketoprofen	ketoprofen 60mg
180001ATB	ketorolac tromethamine	ketorolac tromethamine 10mg
180002BIJ	ketorolac tromethamine	ketorolac tromethamine 30mg
180001ATB	ketorolac tromethamine	ketorolac tromethamine 10mg
180002BIJ	ketorolac tromethamine	ketorolac tromethamine 30mg
180001ATB	ketorolac tromethamine	ketorolac tromethamine 10mg
180002BIJ	ketorolac tromethamine	ketorolac tromethamine 30mg
180103COS	ketotifen fumarate	ketotifen fumarate 0.69mg
180102ASY	ketotifen fumarate	ketotifen fumarate 276㎍
180101ACH	ketotifen fumarate	ketotifen fumarate 1.38mg
394001ATB	kitasamycin	kitasamycin 200mg
464500BIJ	L-alanine	L-alanine 4g/250ml
422400BIJ	L-alanine	L-alanine 8g/500ml
422300BIJ	L-alanine	L-alanine 16g/1000ml
317500BIJ	L-alanine	L-alanine 5820mg
455000BIJ	L-alanine	L-alanine 11640mg
317600BIJ	L-alanine	L-alanine 3880mg
317700BIJ	L-alanine	L-alanine 4850mg
455100BIJ	L-alanine	L-alanine 9700mg
428900BIJ	L-alanine	L-alanine 20.7g
454900BIJ	L-alanine	L-alanine 7760mg
464500BIJ	L-arginine	L-arginine 2.825g/250ml
422400BIJ	L-arginine	L-arginine 5.65g/500ml
422300BIJ	L-arginine	L-arginine 11.3g/1000ml
428900BIJ	L-arginine	L-arginine 11.5g
317500BIJ	L-arginine monoglutamate	L-arginine monoglutamate 5980mg
455000BIJ	L-arginine monoglutamate	L-arginine monoglutamate 11960mg
317600BIJ	L-arginine monoglutamate	L-arginine monoglutamate 3980mg
317700BIJ	L-arginine monoglutamate	L-arginine monoglutamate 4980mg
455100BIJ	L-arginine monoglutamate	L-arginine monoglutamate 9960mg
454900BIJ	L-arginine monoglutamate	L-arginine monoglutamate 7960mg
317500BIJ	L-aspartic acid	L-aspartic acid 1800mg
455000BIJ	L-aspartic acid	L-aspartic acid 3600mg
317600BIJ	L-aspartic acid	L-aspartic acid 1200mg
317700BIJ	L-aspartic acid	L-aspartic acid 1500mg
455100BIJ	L-aspartic acid	L-aspartic acid 3000mg
454900BIJ	L-aspartic acid	L-aspartic acid 2400mg
464500BIJ	L-asparticacid	L-asparticacid 0.85g/250ml
422400BIJ	L-asparticacid	L-asparticacid 1.7g/500ml
422300BIJ	L-asparticacid	L-asparticacid 3.4g/1000ml
381200BIJ	l-cystein HCl	l-cystein HCl 5mg
381100BIJ	l-cystein HCl	l-cystein HCl 20mg
317500BIJ	L-glutamic acid	L-glutamic acid 1470mg
455000BIJ	L-glutamic acid	L-glutamic acid 2940mg
317600BIJ	L-glutamic acid	L-glutamic acid 980mg
317700BIJ	L-glutamic acid	L-glutamic acid 1220mg
455100BIJ	L-glutamic acid	L-glutamic acid 2440mg
454900BIJ	L-glutamic acid	L-glutamic acid 1960mg
464500BIJ	L-glutamicacid	L-glutamicacid 1.4g/250ml
422400BIJ	L-glutamicacid	L-glutamicacid 2.8g/500ml
422300BIJ	L-glutamicacid	L-glutamicacid 2.8g/1000ml
464500BIJ	L-histidine	L-histidine 1.7g/250ml
422400BIJ	L-histidine	L-histidine 3.4g/500ml
422300BIJ	L-histidine	L-histidine 6.8g/1000ml
428900BIJ	L-histidine	L-histidine 4.8g
317500BIJ	L-histidine HCl	L-histidine HCl 2030mg
455000BIJ	L-histidine HCl	L-histidine HCl 4060mg
317600BIJ	L-histidine HCl	L-histidine HCl 1350mg
317700BIJ	L-histidine HCl	L-histidine HCl 1690mg
455100BIJ	L-histidine HCl	L-histidine HCl 3380mg
454900BIJ	L-histidine HCl	L-histidine HCl 2700mg
317500BIJ	L-isoleucine	L-isoleucine 2820mg
455000BIJ	L-isoleucine	L-isoleucine 5640mg
317600BIJ	L-isoleucine	L-isoleucine 1880mg
317700BIJ	L-isoleucine	L-isoleucine 2340mg
455100BIJ	L-isoleucine	L-isoleucine 4680mg
428900BIJ	L-isoleucine	L-isoleucine 6g
454900BIJ	L-isoleucine	L-isoleucine 3760mg
464500BIJ	L-isoleusine	L-isoleusine 1.4g/250ml
422400BIJ	L-isoleusine	L-isoleusine 2.8g/500ml
422300BIJ	L-isoleusine	L-isoleusine 5.6g/1000ml
317500BIJ	L-leucine	L-leucine 3760mg
455000BIJ	L-leucine	L-leucine 7520mg
317600BIJ	L-leucine	L-leucine 2500mg
317700BIJ	L-leucine	L-leucine 3130mg
455100BIJ	L-leucine	L-leucine 6260mg
428900BIJ	L-leucine	L-leucine 7.3g
454900BIJ	L-leucine	L-leucine 5000mg
464500BIJ	L-leusine	L-leusine 1.975g/250ml
422400BIJ	L-leusine	L-leusine 3.95g/500ml
422300BIJ	L-leusine	L-leusine 7.9g/1000ml
464500BIJ	L-lysine acetate	L-lysine acetate 3.175g/250ml
422400BIJ	L-lysine acetate	L-lysine acetate 6.36g/500ml
422300BIJ	L-lysine acetate	L-lysine acetate 12.7g/1000ml
317500BIJ	L-lysine HCl	L-lysine HCl 3400mg
455000BIJ	L-lysine HCl	L-lysine HCl 6800mg
317600BIJ	L-lysine HCl	L-lysine HCl 2270mg
317700BIJ	L-lysine HCl	L-lysine HCl 2840mg
455100BIJ	L-lysine HCl	L-lysine HCl 5680mg
428900BIJ	L-lysine HCl	L-lysine HCl 7.25g
454900BIJ	L-lysine HCl	L-lysine HCl 4540mg
464500BIJ	L-methionine	L-methionine 1.4g/250ml
422400BIJ	L-methionine	L-methionine 2.8g/500ml
422300BIJ	L-methionine	L-methionine 5.6g/1000ml
428900BIJ	L-methionine	L-methionine 4g
317500BIJ	L-methlonlne	L-methlonlne 2350mg
455000BIJ	L-methlonlne	L-methlonlne 4700mg
317600BIJ	L-methlonlne	L-methlonlne 1560mg
317700BIJ	L-methlonlne	L-methlonlne 1960mg
455100BIJ	L-methlonlne	L-methlonlne 3920mg
454900BIJ	L-methlonlne	L-methlonlne 3120mg
185601BIJ	l-ornithine oxoglurate	l-ornithine oxoglurate 5g
464500BIJ	L-phenylalalnine	L-phenylalalnine 1.4625g/250ml
422400BIJ	L-phenylalalnine	L-phenylalalnine 2.925g/500ml
422300BIJ	L-phenylalalnine	L-phenylalalnine 5.85g/1000ml
317500BIJ	L-phenylalanine	L-phenylalanine 4210mg
455000BIJ	L-phenylalanine	L-phenylalanine 8420mg
317600BIJ	L-phenylalanine	L-phenylalanine 2810mg
317700BIJ	L-phenylalanine	L-phenylalanine 3510mg
455100BIJ	L-phenylalanine	L-phenylalanine 7020mg
428900BIJ	L-phenylalanine	L-phenylalanine 5.6g
454900BIJ	L-phenylalanine	L-phenylalanine 5620mg
405201ACS	l-phenylpropanol	l-phenylpropanol 100mg
464500BIJ	L-proline	L-proline 1.7g/250ml
422400BIJ	L-proline	L-proline 3.4g/500ml
422300BIJ	L-proline	L-proline 6.8g/1000ml
317500BIJ	L-proline	L-proline 4800mg
455000BIJ	L-proline	L-proline 8160mg
317600BIJ	L-proline	L-proline 2720mg
317700BIJ	L-proline	L-proline 3400mg
455100BIJ	L-proline	L-proline 6800mg
428900BIJ	L-proline	L-proline 6.8g
454900BIJ	L-proline	L-proline 5440mg
464500BIJ	L-serine	L-serine 1.125g/250ml
422400BIJ	L-serine	L-serine 2.25g/500ml
422300BIJ	L-serine	L-serine 4.5g/1000ml
317500BIJ	L-serine	L-serine 3600mg
455000BIJ	L-serine	L-serine 7200mg
317600BIJ	L-serine	L-serine 2400mg
317700BIJ	L-serine	L-serine 3000mg
455100BIJ	L-serine	L-serine 6000mg
428900BIJ	L-serine	L-serine 5g
454900BIJ	L-serine	L-serine 4800mg
464500BIJ	L-threonine	L-threonine 1.4g/250ml
422400BIJ	L-threonine	L-threonine 2.8g/500ml
422300BIJ	L-threonine	L-threonine 5.6g/1000ml
317500BIJ	L-threonine	L-threonine 2180mg
455000BIJ	L-threonine	L-threonine 4360mg
317600BIJ	L-threonine	L-threonine 1450mg
317700BIJ	L-threonine	L-threonine 1820mg
455100BIJ	L-threonine	L-threonine 3640mg
428900BIJ	L-threonine	L-threonine 4.2g
454900BIJ	L-threonine	L-threonine 2900mg
464500BIJ	L-tryptophan	L-tryptophan 0.475g/250ml
422400BIJ	L-tryptophan	L-tryptophan 0.95g/500ml
422300BIJ	L-tryptophan	L-tryptophan 1.9g/1000ml
317500BIJ	L-tryptophan	L-tryptophan 680mg
455000BIJ	L-tryptophan	L-tryptophan 1360mg
317600BIJ	L-tryptophan	L-tryptophan 460mg
317700BIJ	L-tryptophan	L-tryptophan 570mg
455100BIJ	L-tryptophan	L-tryptophan 1140mg
428900BIJ	L-tryptophan	L-tryptophan 1.8g
454900BIJ	L-tryptophan	L-tryptophan 920mg
428900BIJ	L-tyrosine	L-tyrosine 0.4g
464500BIJ	L-valine	L-valine 1.825g/250ml
422400BIJ	L-valine	L-valine 3.65g/500ml
422300BIJ	L-valine	L-valine 7.3g/1000ml
317500BIJ	L-valine	L-valine 3120mg
455000BIJ	L-valine	L-valine 6240mg
317600BIJ	L-valine	L-valine 2080mg
317700BIJ	L-valine	L-valine 2600mg
455100BIJ	L-valine	L-valine 5200mg
428900BIJ	L-valine	L-valine 5.8g
454900BIJ	L-valine	L-valine 4160mg
180202BIJ	labetalol HCl	labetalol HCl 20mg
180203BIJ	labetalol HCl	labetalol HCl 50mg
180201BIJ	labetalol HCl	labetalol HCl 100mg
414700BIJ	lactic acid	lactic acid 2.52g/1ℓ
